profile_id,location,country,languages,cv_skills,industry_skills,function_skills,tags,education,experience,salary,day_rate,open_for_perm,open_for_project
1657,Bremen,GERMANY,,"[""power bi"", ""jira"", ""bearbeitung"", ""fließend"", ""agile software entwicklung"", ""automatisierung"", ""produktentwicklung"", ""wordpress"", ""prozessmanagement"", ""requirements engineering"", ""innovationsmanagement"", ""projektmanagement"", ""electronic press kit (epk)"", ""sales order"", ""servicenow"", ""microsoft sharepoint"", ""miro"", ""order processing"", ""lösung"", ""bestimmung"", ""operationalisierung"", ""lizenzierung"", ""projektleistung"", ""verarbeitung"", ""zusammenarbeit"", ""spotify"", ""präsentationen"", ""ermittlung"", ""visualisierung"", ""gracenote"", ""usb"", ""smart"", ""stakeholder-anforderungen"", ""kommunikation"", ""koordination"", ""automobilindustrie"", ""industrie 4.0"", ""software-entwicklung"", ""softwareentwicklung"", ""beratung"", ""planung"", ""sales"", ""management"", ""marketing"", ""stakeholder management"", ""dashboard"", ""patch management"", ""sap crm"", ""analytics"", ""scrum (software development)"", ""tableau (business intelligence software)"", ""project management office (pmo)"", ""pharmaceuticals"", ""coaching"", ""wettbewerbsanalyse"", ""datenschutz"", ""priorisierung"", ""codebeamer"", ""datenqualität"", ""virtuelle maschinen"", ""testmanagement"", ""change management"", ""business analytics"", ""anforderungsmanagement"", ""raci-matrix"", ""lieferantenbewertung"", ""pflege"", ""reporting-tools"", ""backlogs""]","[""SEMICONDUCTOR_AND_HARDWARE"", ""PLANT_AND_MACHINERY"", ""AUTOMOTIVE_INDUSTRY"", ""PHARMACEUTICAL_INDUSTRY""]","[""RISK_MANAGEMENT"", ""PORTFOLIO_STRATEGY"", ""PROJECT_MANAGEMENT_OFFICE_PMO"", ""DIGITALISATION"", ""PROCESS_MANAGEMENT"", ""AGILE_PROJECT_MANAGEMENT"", ""IT_PROJECT_MANAGEMENT""]","[""ki"", ""Power BI"", ""Workshop Faciilitation"", ""Systemintegration"", ""innovationsmanagement"", ""Patch Management"", ""Stakeholdermanagement"", ""Assetmanagement"", ""Portfolioentwicklung"", ""SIPOC"", ""ASPICE"", ""RACI"", ""Produktentwicklung"", ""Connected Car""]","[{""title"" : ""Studium des Wirtschaftsingenieurwesens (M.Sc.)"", ""organization_name"" : ""der Universität Bremen"", ""start_date"" : ""2015-10-01"", ""end_date"" : ""2018-06-01"", ""city"" : null}, {""title"" : ""Studium des Wirtschaftsingenieurwesens (B.Sc.)"", ""organization_name"" : ""der Universität Bremen"", ""start_date"" : ""2011-10-01"", ""end_date"" : ""2015-10-01"", ""city"" : null}]",,NONE,FROM_1000_TO_1200,TRUE,TRUE
1654,Berlin,GERMANY,,"[""sales"", ""economics"", ""market entry strategy"", ""corporate strategy"", ""finance"", ""renewable energy"", ""rowing (sport)"", ""communication"", ""innovation"", ""stakeholder management"", ""marketing"", ""new business development"", ""consulting"", ""project management"", ""due diligence"", ""management"", ""leadership"", ""global management"", ""private equity"", ""photovoltaics"", ""business development"", ""business modeling"", ""management consulting"", ""talent development"", ""master of business administration (mba)"", ""value chain""]","[""PRIVATE_EQUITY"", ""INFRASTRUCTURE"", ""ENERGY_INDUSTRY"", ""PROFESSIONAL_SERVICE_FIRMS""]","[""MARKETING_SIZING"", ""PROJECT_MANAGEMENT_OFFICE_PMO"", ""BENCHMARKING_AND_COMPETITIVE_ANALYSIS"", ""GROWTH_STRATEGY"", ""PORTFOLIO_STRATEGY"", ""DUE_DILIGENCE"", ""GO_TO_MARKET_STRATEGY"", ""BUSINESS_PLAN_DEVELOPMENT"", ""BUSINESS_UNIT_STRATEGY"", ""MARKET_ENTRY_STRATEGY""]","[""leadership"", ""consulting"", ""Business Development""]",,,FROM_150K_TO_200K,FROM_1500_TO_2000,TRUE,TRUE
1653,Berlin,GERMANY,,"[""automatisierung"", ""prozessoptimierung"", ""führung"", ""wirtschaftsprüfer"", ""koordination"", ""forderungen"", ""kommunikation"", ""sap fi"", ""accounting"", ""microsoft excel"", ""finance"", ""sap crm"", ""cash-management"", ""finanzbuchhaltung"", ""pflege""]","[""CONSUMER_GOODS""]","[""ACCOUNTING"", ""DIGITALISATION"", ""PROCESS_MANAGEMENT"", ""CONTROLLING_AND_PERFORMANCE_MEASUREMENT_SYSTEMS"", ""POST_MERGER_INTEGRATION"", ""SUPPLY_CHAIN_MANAGEMENT""]","[""Finance""]",,,BELOW_100K,NONE,TRUE,FALSE
1644,München,GERMANY,,"[""analytik"", ""schwerpunkt"", ""onboarding"", ""werbung"", ""fließend"", ""führung"", ""budgetierung"", ""kommunikation"", ""koordination"", ""digitales marketing"", ""stakeholder-kommunikation"", ""zusammenarbeit"", ""beratung"", ""markenbekanntheit"", ""marketingaktivitäten"", ""marketing strategien"", ""projektmanagement"", ""marketing"", ""customer relationship management"", ""social media"", ""produkt management"", ""kulturaustausch"", ""kreativität"", ""business directory""]","[""WHOLESALE"", ""INSURANCE"", ""CONSUMER_GOODS"", ""AUTOMOTIVE_INDUSTRY""]","[""ECOMMERCE_AND_DIGITAL_MARKETING"", ""CUSTOMER_LIFE_CYCLE_MANAGEMENT"", ""MARKETING_ROI"", ""CUSTOMER_ANALYSIS"", ""BRANDING"", ""DIGITALISATION"", ""MARKETING_AND_COMMUNICATIONS_PLANNING""]","[""strategisches Denken"", ""freelancer"", ""leadership"", ""networking"", ""Management"", ""Unternehmerisches Denken"", ""Loesungsorientierung"", ""Digital Transformation"", ""Resilience"", ""lifelong learning"", ""Customer Centricity"", ""Kreation"", ""Interkulturelle Kompetenz"", ""Anpassungsfaehigkeit"", ""Teamfuehrung"", ""Teamentwicklung""]","[{""title"" : ""Diplom-Soziologe"", ""organization_name"" : ""Otto-Friedrich-Universität"", ""start_date"" : ""1999-10-01"", ""end_date"" : ""2007-09-19"", ""city"" : ""Bamberg""}, {""title"" : ""Zertifizierter Systemischer Coach"", ""organization_name"" : ""Verband freier Trainer & Coaches I VFTC"", ""start_date"" : ""2022-06-01"", ""end_date"" : ""2022-10-01"", ""city"" : ""München/Berlin""}]","[{""title"" : ""Selbstständige Beraterin & Projektmanagement "", ""organization_name"" : ""SLEEVES UP CONSULTANCY"", ""start_date"" : ""2016-05-01"", ""end_date"" : null, ""city"" : ""München""}, {""title"" : ""Head of Marketing Child Safety"", ""organization_name"" : ""CYBEX GMBH"", ""start_date"" : ""2020-12-01"", ""end_date"" : ""2022-12-01"", ""city"" : ""Bayreuth""}, {""title"" : ""Global Business Director"", ""organization_name"" : ""SPARK44 LTD"", ""start_date"" : ""2014-11-01"", ""end_date"" : ""2016-04-01"", ""city"" : ""London""}, {""title"" : ""Client Service Director"", ""organization_name"" : ""KÖCKRITZDÖRRICH GMBH"", ""start_date"" : ""2014-11-01"", ""end_date"" : ""2016-04-01"", ""city"" : ""Reutlingen""}, {""title"" : ""Group Account Director"", ""organization_name"" : ""PANAMA WERBEAGENTUR"", ""start_date"" : ""2009-02-01"", ""end_date"" : ""2011-03-01"", ""city"" : ""Stuttgart""}, {""title"" : ""Advertising Account Manager"", ""organization_name"" : ""JUNG VON MATT"", ""start_date"" : ""2008-07-01"", ""end_date"" : ""2009-01-01"", ""city"" : ""Stuttgart""}, {""title"" : ""Projekt Manager"", ""organization_name"" : ""INSTITUT FÜR KULTURAUSTAUSCH"", ""start_date"" : ""2006-10-01"", ""end_date"" : ""2008-06-30"", ""city"" : ""Tübingen""}, {""title"" : ""PRAKTIKANT, WERKSTUDENT & DIPLOMANT "", ""organization_name"" : ""DAIMLERCHRYSLER AG,"", ""start_date"" : ""2002-04-01"", ""end_date"" : ""2005-04-01"", ""city"" : ""Stuttgart""}]",FROM_100K_TO_150K,BELOW_1000,TRUE,TRUE
1643,Frankfurt,GERMANY,,"[""fourgen computer-aided software engineering (case) tools"", ""sales strategy"", ""resilience"", ""communication"", ""agile software development"", ""consulting"", ""operations"", ""real estate"", ""management"", ""sales"", ""restructuring (business)"", ""technology solutions"", ""business case"", ""industrialization"", ""corporate sustainability"", ""site selection"", ""investment strategy"", ""corporate communications"", ""value chain"", ""service strategy"", ""mechanical engineering"", ""life sciences"", ""transformation (genetics)""]","[""AUTOMOTIVE_INDUSTRY"", ""ELECTRICAL_ENGINEERING"", ""BIOTECHNOLOGY"", ""PHARMACEUTICAL_INDUSTRY"", ""MEDICAL_DEVICES""]","[""PROJECT_MANAGEMENT_OFFICE_PMO"", ""RESTRUCTURING"", ""BENCHMARKING_AND_COMPETITIVE_ANALYSIS"", ""DIGITALISATION"", ""PORTFOLIO_STRATEGY"", ""CHANGE_MANAGEMENT"", ""GROWTH_STRATEGY"", ""AGILE_PROJECT_MANAGEMENT"", ""GO_TO_MARKET_STRATEGY"", ""MARKET_ENTRY_STRATEGY""]","[""Powerpoint"", ""Excel"", ""communication"", ""presentation"", ""Project Management"", ""Empathy"", ""International work experience""]","[{""title"" : ""M.Sc. in Management"", ""organization_name"" : ""University of Mannheim"", ""start_date"" : ""2014-09-01"", ""end_date"" : ""2017-12-31"", ""city"" : ""Mannheim""}, {""title"" : ""B.A. in Economics"", ""organization_name"" : ""University of Zurich"", ""start_date"" : ""2010-09-01"", ""end_date"" : ""2014-08-31"", ""city"" : ""Zurich""}]","[{""title"" : ""Strategy Manager | Diagnostic Imaging"", ""organization_name"" : ""Siemens Healthineers"", ""start_date"" : ""2022-08-01"", ""end_date"" : ""2024-12-31"", ""city"" : ""Munich""}, {""title"" : ""Project Manager | Consulting"", ""organization_name"" : ""Siemens Healthineers"", ""start_date"" : ""2021-11-01"", ""end_date"" : ""2022-07-31"", ""city"" : ""Munich""}, {""title"" : ""Senior Consultant | Strategy Consulting"", ""organization_name"" : ""Stern Stewart & Co."", ""start_date"" : ""2021-01-01"", ""end_date"" : ""2021-10-31"", ""city"" : ""Munich""}]",NONE,NONE,TRUE,TRUE
1641,Wülfrath,GERMANY,,"[""management"", ""booking (resource planning software)"", ""mfg/pro (erp)"", ""crisis management"", ""working capital"", ""market penetration"", ""complexity reduction"", ""leaseback"", ""accounting"", ""finance"", ""restructuring (business)"", ""operations"", ""financial analysis"", ""planning"", ""billing"", ""installation"", ""streamlining"", ""microsoft dynamics"", ""sales"", ""accounts receivable"", ""transformation (genetics)"", ""fourgen computer-aided software engineering (case) tools"", ""fire protection"", ""collaboration"", ""throughput"", ""inventory control"", ""logistics"", ""process improvement"", ""resource allocation"", ""profit margins"", ""resource utilization"", ""stock management"", ""inventory management"", ""boost (c++ libraries)"", ""segmentation strategy"", ""banking"", ""transparency (projection)"", ""financial planning"", ""consolidation"", ""painting"", ""microsoft dynamics 365"", ""calculations"", ""balance sheet"", ""business case"", ""covenants"", ""obsolescence management"", ""liquidity management""]","[""PLANT_AND_MACHINERY"", ""CONSTRUCTION_INDUSTRY"", ""PROFESSIONAL_SERVICE_FIRMS"", ""PRIVATE_EQUITY"", ""AUTOMOTIVE_INDUSTRY""]","[""GROWTH_TREND_ANALYSIS"", ""RISK_MANAGEMENT"", ""ORGANISATIONAL_DESIGN"", ""RESTRUCTURING"", ""PRICING"", ""DIGITALISATION"", ""M_AND_A_SUPPORT"", ""CUSTOMER_LIFE_CYCLE_MANAGEMENT"", ""CONTROLLING_AND_PERFORMANCE_MEASUREMENT_SYSTEMS"", ""PROJECT_MANAGEMENT_OFFICE_PMO""]","[""CashFlow Management "", ""Change Management"", ""Digital Transformation"", ""Mergers and Aquisitions"", ""Finanzberichte"", ""Working Capital Management"", ""Prozessoptimierung"", ""Finanzielle Due Diligence""]",,"[{""title"" : ""Head of Finance"", ""organization_name"" : ""Firian Gruppe"", ""start_date"" : ""2023-06-01"", ""end_date"" : ""2024-10-01"", ""city"" : ""München""}, {""title"" : ""INTERIM Executive Sales Director"", ""organization_name"" : ""Someo SA"", ""start_date"" : ""2020-10-01"", ""end_date"" : ""2021-02-14"", ""city"" : null}, {""title"" : ""General Manager (Finance & Sales)"", ""organization_name"" : ""Boryszew Automotive Plastics Group"", ""start_date"" : ""2015-10-01"", ""end_date"" : ""2020-09-30"", ""city"" : ""Braunschweig""}, {""title"" : ""Group Finance Director"", ""organization_name"" : ""Stoebich Group"", ""start_date"" : ""2021-02-15"", ""end_date"" : ""2023-07-01"", ""city"" : null}]",NONE,NONE,TRUE,TRUE
1637,Mülheim an der Ruhr ,GERMANY,,"[""facility management"", ""projektleistung"", ""beratung"", ""absicherung"", ""führung"", ""gesundheitswesen"", ""baustellen"", ""business development"", ""management"", ""gebäudemanagement"", ""organisches wachstum"", ""neu"", ""unternehmensberatung"", ""sanitärtechnik"", ""sicherheitstechnik""]","[""FACILITY_SERVICES_AND_SECURITY""]","[""M_AND_A_SUPPORT"", ""MARKET_ENTRY_STRATEGY"", ""POST_MERGER_INTEGRATION"", ""GROWTH_STRATEGY"", ""CHANGE_MANAGEMENT"", ""DUE_DILIGENCE"", ""RESTRUCTURING"", ""ORGANISATIONAL_DESIGN"", ""GENERAL_MANAGEMENT""]","[""fuehrung"", ""Business Development""]","[{""title"" : ""Betriebswirt (VWA),"", ""organization_name"" : ""Verwaltungs- und Wirtschaftsakademie,"", ""start_date"" : ""1992-01-01"", ""end_date"" : ""1995-01-01"", ""city"" : ""Essen""}, {""title"" : ""Ausbildung zum Bankkaufmann,"", ""organization_name"" : ""Deutsche Bank AG,"", ""start_date"" : ""1988-01-01"", ""end_date"" : ""1990-01-01"", ""city"" : ""Mülheim""}]","[{""title"" : ""Geschäftsführer"", ""organization_name"" : ""Kooi Security Deutschland GmbH & Kooi Security Austria GmbH"", ""start_date"" : ""2021-01-01"", ""end_date"" : ""2025-02-01"", ""city"" : null}, {""title"" : ""Leerstandsmanagement"", ""organization_name"" : ""IM-PEC GmbH"", ""start_date"" : ""2020-01-01"", ""end_date"" : ""2020-12-01"", ""city"" : null}, {""title"" : ""Geschäftsführer"", ""organization_name"" : ""VPSitex Deutschland GmbH,"", ""start_date"" : ""2017-04-01"", ""end_date"" : ""2019-12-01"", ""city"" : ""Berlin""}, {""title"" : ""Geschäftsführer ray facility"", ""organization_name"" : ""Nils Bogdol GmbH,"", ""start_date"" : ""2015-11-01"", ""end_date"" : ""2017-03-01"", ""city"" : ""Langwedel""}, {""title"" : ""Business Development"", ""organization_name"" : ""Prosegur GmbH,"", ""start_date"" : ""2012-04-01"", ""end_date"" : ""2015-10-01"", ""city"" : ""Ratingen""}, {""title"" : ""Niederlassungsleiter"", ""organization_name"" : ""W.I.S. Sicherheit + Service GmbH & Co.KG,"", ""start_date"" : ""2010-08-01"", ""end_date"" : ""2012-03-01"", ""city"" : ""Cologne""}, {""title"" : ""Geschäftsführender Gesellschafter"", ""organization_name"" : ""IM-PEC GmbH,"", ""start_date"" : ""2010-01-01"", ""end_date"" : ""2025-02-01"", ""city"" : ""Mülheim""}, {""title"" : ""Business Development "", ""organization_name"" : ""Securitas Direct International AB,"", ""start_date"" : ""2000-04-01"", ""end_date"" : ""2009-12-01"", ""city"" : ""Malmo""}, {""title"" : ""Business Development Manager"", ""organization_name"" : ""Securitas Direct"", ""start_date"" : ""2007-10-01"", ""end_date"" : ""2009-12-01"", ""city"" : ""Malmo""}, {""title"" : ""Geschäftsführer"", ""organization_name"" : ""Securitas Direct BV"", ""start_date"" : ""2003-10-01"", ""end_date"" : ""2007-09-01"", ""city"" : null}, {""title"" : ""Group Controller"", ""organization_name"" : ""Belgacom Alert Services NV/SA,"", ""start_date"" : ""2002-01-01"", ""end_date"" : ""2003-09-01"", ""city"" : null}, {""title"" : ""Kaufmännischer Leiter, später Geschäftsführer der"", ""organization_name"" : ""Securitas Direct GmbH"", ""start_date"" : ""2000-04-01"", ""end_date"" : ""2001-12-01"", ""city"" : ""Essen""}, {""title"" : ""Leiter Beteiligungsverwaltung"", ""organization_name"" : ""Stadt Mülheim"", ""start_date"" : ""1997-01-01"", ""end_date"" : ""2000-03-01"", ""city"" : ""Schwerte""}, {""title"" : ""Finanzierungsberater Firmenkunden"", ""organization_name"" : ""Bayerische Hypotheken- und Wechselbank AG,"", ""start_date"" : ""1991-01-01"", ""end_date"" : ""1996-12-01"", ""city"" : ""Düsseldorf""}, {""title"" : ""Kundenberater"", ""organization_name"" : ""Deutsche Bank AG,"", ""start_date"" : ""1990-06-01"", ""end_date"" : ""1990-12-01"", ""city"" : ""Mülheim""}]",FROM_150K_TO_200K,FROM_1000_TO_1200,TRUE,TRUE
1633,Viersen,GERMANY,,"[""buchhaltung"", ""planung"", ""verwaltung"", ""verhandlung"", ""produktionsplanung"", ""schwerpunkt"", ""insourcing"", ""gutachten"", ""zeit"", ""fließend"", ""private equity"", ""sanierung"", ""führung"", ""restructuring (business)"", ""sap crm"", ""interim management"", ""anästhesiologie"", ""einkauf"", ""outsourcing""]","[""RETAIL_INDUSTRY"", ""FOOD_AND_BEVERAGE_INDUSTRY"", ""HEALTHCARE_PROVIDERS"", ""AUTOMOTIVE_INDUSTRY"", ""CONSUMER_GOODS""]","[""M_AND_A_SUPPORT"", ""CHANGE_MANAGEMENT"", ""RESTRUCTURING"", ""CORPORATE_FINANCE"", ""CONTROLLING_AND_PERFORMANCE_MEASUREMENT_SYSTEMS""]","[""Team"", ""Powerpoint"", ""Excel"", ""freelancer"", ""Restructuring"", ""Mentoring"", ""Empathy"", ""Financial Planning"", ""Reporting""]","[{""title"" : ""Deutsches und Europäisches Wirtschaftsrecht"", ""organization_name"" : ""Universität Siegen"", ""start_date"" : ""2000-10-01"", ""end_date"" : ""2005-08-01"", ""city"" : ""Siegen""}, {""title"" : ""Reserveoffizier"", ""organization_name"" : ""Bundeswehr"", ""start_date"" : ""1998-09-01"", ""end_date"" : ""2000-08-01"", ""city"" : ""Koblenz""}]","[{""title"" : ""Geschäftsführer"", ""organization_name"" : ""Rehasan Kliniken Holding GmbH"", ""start_date"" : ""2023-03-01"", ""end_date"" : null, ""city"" : ""Bad Pyrmont""}, {""title"" : ""Unternehmensberater Kaufmännischer Interimmanager"", ""organization_name"" : ""Unicepta"", ""start_date"" : ""2022-10-01"", ""end_date"" : ""2023-03-31"", ""city"" : ""Köln""}, {""title"" : ""Direktor Finanzen / Kaufmännischer Direktor"", ""organization_name"" : ""Kliniken der Stadt Köln gGmbH"", ""start_date"" : ""2017-09-01"", ""end_date"" : ""2022-12-31"", ""city"" : ""Köln""}, {""title"" : ""CFO, Chief Restructuring Officer"", ""organization_name"" : ""Kronenbrot KG Franz Mainz,"", ""start_date"" : ""2014-09-01"", ""end_date"" : ""2017-08-31"", ""city"" : ""Würselen""}, {""title"" : ""Senior Manager"", ""organization_name"" : ""Struktur Management Partner GmbH"", ""start_date"" : ""2006-07-01"", ""end_date"" : ""2014-08-31"", ""city"" : ""Köln""}, {""title"" : ""Verkaufsleiter Vertrieb"", ""organization_name"" : ""Lidl GmbH & Co. KG"", ""start_date"" : ""2005-10-01"", ""end_date"" : ""2006-06-30"", ""city"" : ""Haiger""}]",FROM_200K_TO_250K,FROM_1500_TO_2000,TRUE,TRUE
1632,München,GERMANY,,"[""account management"", ""swimming"", ""personal care"", ""key account management"", ""communication"", ""planning"", ""teaching"", ""research"", ""customer relationship management"", ""data analysis"", ""business development"", ""salesforce"", ""market analysis"", ""entrepreneurship"", ""consulting"", ""writing"", ""content management"", ""problem solving"", ""project management"", ""fourgen computer-aided software engineering (case) tools"", ""management"", ""business to business"", ""content management systems"", ""upselling"", ""management systems"", ""academic writing"", ""web content management"", ""sustainable business"", ""aviation""]","[""PROFESSIONAL_SERVICE_FIRMS""]","[""GROWTH_TREND_ANALYSIS"", ""BENCHMARKING_AND_COMPETITIVE_ANALYSIS"", ""DIGITALISATION"", ""CUSTOMER_ANALYSIS"", ""AGILE_PROJECT_MANAGEMENT"", ""GROWTH_STRATEGY"", ""MARKETING_SIZING"", ""BUSINESS_PLAN_DEVELOPMENT"", ""GO_TO_MARKET_STRATEGY""]","[""communication"", ""networking"", ""business building""]","[{""title"" : ""Doctorate (Dr. rer. oec./PhD) in Business Administration"", ""organization_name"" : ""HHL Leipzig Graduate School of Management"", ""start_date"" : ""2021-04-01"", ""end_date"" : ""2024-09-30"", ""city"" : ""Leipzig""}, {""title"" : ""Master of Science"", ""organization_name"" : ""Philipps University of Marburg"", ""start_date"" : ""2017-10-01"", ""end_date"" : ""2020-08-31"", ""city"" : ""Marburg""}, {""title"" : ""Bachelor of Arts in Economics"", ""organization_name"" : ""University of Hamburg"", ""start_date"" : ""2013-10-01"", ""end_date"" : ""2016-12-31"", ""city"" : ""Hamburg""}]",,NONE,NONE,TRUE,TRUE
1631,Düsseldorf,GERMANY,"[""ENGLISH"", ""GERMAN""]","[""agile software development"", ""collaboration"", ""accounting"", ""business development"", ""resilience"", ""leaner style sheets (less)"", ""sales"", ""billing"", ""finance"", ""micropayment"", ""venture capital"", ""corporate finance"", ""android (operating system)"", ""growth hacking"", ""innovation"", ""e-commerce"", ""real estate"", ""operations"", ""master of business administration (mba)"", ""transparency (projection)"", ""throughput"", ""employee satisfaction"", ""app store (ios)"", ""project management institute (pmi) methodology""]","[""PROFESSIONAL_SERVICE_FIRMS"", ""REAL_ESTATE"", ""PRIVATE_EQUITY"", ""DIGITAL_BUSINESS_MODELS"", ""SOFTWARE_AND_IT_SERVICES""]","[""POST_MERGER_INTEGRATION"", ""GROWTH_STRATEGY"", ""DUE_DILIGENCE"", ""DIGITALISATION"", ""CORPORATE_FINANCE"", ""M_AND_A_SUPPORT"", ""ECOMMERCE_AND_DIGITAL_MARKETING"", ""GO_TO_MARKET_STRATEGY"", ""GENERAL_MANAGEMENT"", ""INNOVATION_MANAGEMENT""]","[""Restructuring"", ""startup"", ""Corporate Venture Capital"", ""Due Diligence"", ""Innovation Management"", ""Corporate Start Up"", ""Recruiting"", ""COO"", ""Transformation"", ""Agile Project Management"", ""Strategy Consulting"", ""Growth"", ""OKR"", ""Growth Hacking""]","[{""title"" : ""Master of Business (MBA)"", ""organization_name"" : ""IESE Business School"", ""start_date"" : ""2012-01-01"", ""end_date"" : ""2014-01-01"", ""city"" : ""Barcelona""}, {""title"" : ""Exchange Semester"", ""organization_name"" : ""California State University, East Bay"", ""start_date"" : ""2008-01-01"", ""end_date"" : ""2008-06-30"", ""city"" : ""Hayward""}]","[{""title"" : ""Vice President of Corporate Finance"", ""organization_name"" : ""Deutsche Bank AG"", ""start_date"" : ""2014-01-01"", ""end_date"" : ""2017-01-01"", ""city"" : ""Frankfurt""}, {""title"" : ""Advisory Services Consultant"", ""organization_name"" : ""Ernst & Young Advisory Services"", ""start_date"" : ""2009-01-01"", ""end_date"" : ""2012-01-01"", ""city"" : ""Munich""}, {""title"" : ""Assistant to the Director"", ""organization_name"" : ""ArcelorMittal"", ""start_date"" : ""2005-01-01"", ""end_date"" : ""2009-01-01"", ""city"" : ""Cologne""}, {""title"" : ""CEO"", ""organization_name"" : ""App & Eat GmbH"", ""start_date"" : ""2017-01-01"", ""end_date"" : ""2020-01-01"", ""city"" : ""Düsseldorf""}, {""title"" : ""CEO"", ""organization_name"" : ""objego GmbH"", ""start_date"" : ""2020-02-01"", ""end_date"" : ""2024-02-29"", ""city"" : ""Essen""}, {""title"" : ""CEO"", ""organization_name"" : ""Düsseldorfer Pr.od.ukt Manufaktur GmbH"", ""start_date"" : ""2015-01-01"", ""end_date"" : ""2024-12-31"", ""city"" : ""Düsseldorf""}]",ABOVE_250K,FROM_1500_TO_2000,TRUE,TRUE
